Kdex,Ndex,Name,Type1,Type2,Link,HP,ATK,DEF,SP_ATK,SP_DEF,SPD,Damaged Normally by,Weak to,Immue to,Resisant to
 #011, #011,Metapod,Bug,Null,https://bulbapedia.bulbagarden.net//wiki/Metapod_(Pok%C3%A9mon),50,20,55,25,25,30,"['Normal_1×', 'Poison_1×', 'Bug_1×', 'Ghost_1×', 'Steel_1×', 'Water_1×', 'Electric_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Flying_2×', 'Rock_2×', 'Fire_2×']",['None'],"['Fighting_½×', 'Ground_½×', 'Grass_½×']"
 #012, #012,Butterfree,Bug,Flying,https://bulbapedia.bulbagarden.net//wiki/Butterfree_(Pok%C3%A9mon),60,45,50,80,80,70,"['Normal_1×', 'Poison_1×', 'Ghost_1×', 'Steel_1×', 'Water_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Flying_2×', 'Rock_4×', 'Fire_2×', 'Electric_2×', 'Ice_2×']",['Ground_0×'],"['Fighting_¼×', 'Bug_½×', 'Grass_¼×']"
 #013, #013,Weedle,Bug,Poison,https://bulbapedia.bulbagarden.net//wiki/Weedle_(Pok%C3%A9mon),40,35,30,20,20,50,"['Normal_1×', 'Ground_1×', 'Ghost_1×', 'Steel_1×', 'Water_1×', 'Electric_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×']","['Flying_2×', 'Rock_2×', 'Fire_2×', 'Psychic_2×']",['None'],"['Fighting_¼×', 'Poison_½×', 'Bug_½×', 'Grass_¼×', 'Fairy_½×']"
 #014, #014,Kakuna,Bug,Poison,https://bulbapedia.bulbagarden.net//wiki/Kakuna_(Pok%C3%A9mon),45,25,50,25,25,35,"['Normal_1×', 'Ground_1×', 'Ghost_1×', 'Steel_1×', 'Water_1×', 'Electric_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×']","['Flying_2×', 'Rock_2×', 'Fire_2×', 'Psychic_2×']",['None'],"['Fighting_¼×', 'Poison_½×', 'Bug_½×', 'Grass_¼×', 'Fairy_½×']"
 #015, #015,Beedrill,Bug,Poison,https://bulbapedia.bulbagarden.net//wiki/Beedrill_(Pok%C3%A9mon),65,80,40,45,80,75,"['Normal_1×', 'Ground_1×', 'Ghost_1×', 'Steel_1×', 'Water_1×', 'Electric_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×']","['Flying_2×', 'Rock_2×', 'Fire_2×', 'Psychic_2×']",['None'],"['Fighting_¼×', 'Poison_½×', 'Bug_½×', 'Grass_¼×', 'Fairy_½×']"
 #016, #016,Pidgey,Normal,Flying,https://bulbapedia.bulbagarden.net//wiki/Pidgey_(Pok%C3%A9mon),40,45,40,35,35,56,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Rock_2×', 'Electric_2×', 'Ice_2×']","['Ground_0×', 'Ghost_0×']","['Bug_½×', 'Grass_½×']"
 #017, #017,Pidgeotto,Normal,Flying,https://bulbapedia.bulbagarden.net//wiki/Pidgeotto_(Pok%C3%A9mon),63,60,55,50,50,71,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Rock_2×', 'Electric_2×', 'Ice_2×']","['Ground_0×', 'Ghost_0×']","['Bug_½×', 'Grass_½×']"
 #018, #018,Pidgeot,Normal,Flying,https://bulbapedia.bulbagarden.net//wiki/Pidgeot_(Pok%C3%A9mon),83,80,75,70,70,91,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Rock_2×', 'Electric_2×', 'Ice_2×']","['Ground_0×', 'Ghost_0×']","['Bug_½×', 'Grass_½×']"
 #019, #019,Rattata,Normal,Null,https://bulbapedia.bulbagarden.net//wiki/Rattata_(Pok%C3%A9mon),30,56,35,25,35,72,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']",['Fighting_2×'],['Ghost_0×'],['None']
  , #019,Rattata,Dark,Normal,https://bulbapedia.bulbagarden.net//wiki/Rattata_(Pok%C3%A9mon),30,56,35,25,35,72,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']",['Fighting_2×'],['Ghost_0×'],['None']
 #020, #020,Raticate,Normal,Null,https://bulbapedia.bulbagarden.net//wiki/Raticate_(Pok%C3%A9mon),55,81,60,50,70,97,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']",['Fighting_2×'],['Ghost_0×'],['None']
  , #020,Raticate,Dark,Normal,https://bulbapedia.bulbagarden.net//wiki/Raticate_(Pok%C3%A9mon),55,81,60,50,70,97,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']",['Fighting_2×'],['Ghost_0×'],['None']
 #021, #021,Spearow,Normal,Flying,https://bulbapedia.bulbagarden.net//wiki/Spearow_(Pok%C3%A9mon),40,60,30,31,31,70,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Rock_2×', 'Electric_2×', 'Ice_2×']","['Ground_0×', 'Ghost_0×']","['Bug_½×', 'Grass_½×']"
 #022, #022,Fearow,Normal,Flying,https://bulbapedia.bulbagarden.net//wiki/Fearow_(Pok%C3%A9mon),65,90,65,61,61,100,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Rock_2×', 'Electric_2×', 'Ice_2×']","['Ground_0×', 'Ghost_0×']","['Bug_½×', 'Grass_½×']"
 #023, #023,Ekans,Poison,Null,https://bulbapedia.bulbagarden.net//wiki/Ekans_(Pok%C3%A9mon),35,60,44,40,54,55,"['Normal_1×', 'Flying_1×', 'Rock_1×', 'Ghost_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Electric_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×']","['Ground_2×', 'Psychic_2×']",['None'],"['Fighting_½×', 'Poison_½×', 'Bug_½×', 'Grass_½×', 'Fairy_½×']"
 #024, #024,Arbok,Poison,Null,https://bulbapedia.bulbagarden.net//wiki/Arbok_(Pok%C3%A9mon),60,85,69,65,79,80,"['Normal_1×', 'Flying_1×', 'Rock_1×', 'Ghost_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Electric_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×']","['Ground_2×', 'Psychic_2×']",['None'],"['Fighting_½×', 'Poison_½×', 'Bug_½×', 'Grass_½×', 'Fairy_½×']"
 #025, #025,Pikachu,Electric,Null,https://bulbapedia.bulbagarden.net//wiki/Pikachu_(Pok%C3%A9mon),35,55,30,50,40,90,"['Normal_1×', 'Fighting_1×', 'Poison_1×', 'Rock_1×', 'Bug_1×', 'Ghost_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']",['Ground_2×'],['None'],"['Flying_½×', 'Steel_½×', 'Electric_½×']"
 #026, #026,Raichu,Electric,Null,https://bulbapedia.bulbagarden.net//wiki/Raichu_(Pok%C3%A9mon),60,90,55,90,80,100,"['Normal_1×', 'Fighting_1×', 'Poison_1×', 'Rock_1×', 'Bug_1×', 'Ghost_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']",['Ground_2×'],['None'],"['Flying_½×', 'Steel_½×', 'Electric_½×']"
  , #026,Raichu,Electric,Psychic,https://bulbapedia.bulbagarden.net//wiki/Raichu_(Pok%C3%A9mon),60,90,55,90,80,100,"['Normal_1×', 'Fighting_1×', 'Poison_1×', 'Rock_1×', 'Bug_1×', 'Ghost_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']",['Ground_2×'],['None'],"['Flying_½×', 'Steel_½×', 'Electric_½×']"
 #027, #027,Sandshrew,Ground,Null,https://bulbapedia.bulbagarden.net//wiki/Sandshrew_(Pok%C3%A9mon),50,75,85,20,30,40,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Ground_1×', 'Bug_1×', 'Ghost_1×', 'Steel_1×', 'Fire_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Water_2×', 'Grass_2×', 'Ice_2×']",['Electric_0×'],"['Poison_½×', 'Rock_½×']"
  , #027,Sandshrew,Ice,Steel,https://bulbapedia.bulbagarden.net//wiki/Sandshrew_(Pok%C3%A9mon),50,75,85,20,30,40,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Ground_1×', 'Bug_1×', 'Ghost_1×', 'Steel_1×', 'Fire_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Water_2×', 'Grass_2×', 'Ice_2×']",['Electric_0×'],"['Poison_½×', 'Rock_½×']"
 #028, #028,Sandslash,Ground,Null,https://bulbapedia.bulbagarden.net//wiki/Sandslash_(Pok%C3%A9mon),75,100,110,45,55,65,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Ground_1×', 'Bug_1×', 'Ghost_1×', 'Steel_1×', 'Fire_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Water_2×', 'Grass_2×', 'Ice_2×']",['Electric_0×'],"['Poison_½×', 'Rock_½×']"
  , #028,Sandslash,Ice,Steel,https://bulbapedia.bulbagarden.net//wiki/Sandslash_(Pok%C3%A9mon),75,100,110,45,55,65,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Ground_1×', 'Bug_1×', 'Ghost_1×', 'Steel_1×', 'Fire_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Water_2×', 'Grass_2×', 'Ice_2×']",['Electric_0×'],"['Poison_½×', 'Rock_½×']"
 #029, #029,Nidoran♀,Poison,Null,https://bulbapedia.bulbagarden.net//wiki/Nidoran%E2%99%80_(Pok%C3%A9mon),55,47,52,40,40,41,"['Normal_1×', 'Flying_1×', 'Rock_1×', 'Ghost_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Electric_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×']","['Ground_2×', 'Psychic_2×']",['None'],"['Fighting_½×', 'Poison_½×', 'Bug_½×', 'Grass_½×', 'Fairy_½×']"
 #030, #030,Nidorina,Poison,Null,https://bulbapedia.bulbagarden.net//wiki/Nidorina_(Pok%C3%A9mon),70,62,67,55,55,56,"['Normal_1×', 'Flying_1×', 'Rock_1×', 'Ghost_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Electric_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×']","['Ground_2×', 'Psychic_2×']",['None'],"['Fighting_½×', 'Poison_½×', 'Bug_½×', 'Grass_½×', 'Fairy_½×']"
 #031, #031,Nidoqueen,Poison,Ground,https://bulbapedia.bulbagarden.net//wiki/Nidoqueen_(Pok%C3%A9mon),90,82,87,75,85,76,"['Normal_1×', 'Flying_1×', 'Ghost_1×', 'Steel_1×', 'Fire_1×', 'Grass_1×', 'Dragon_1×', 'Dark_1×']","['Ground_2×', 'Water_2×', 'Psychic_2×', 'Ice_2×']",['Electric_0×'],"['Fighting_½×', 'Poison_¼×', 'Rock_½×', 'Bug_½×', 'Fairy_½×']"
 #032, #032,Nidoran♂,Poison,Null,https://bulbapedia.bulbagarden.net//wiki/Nidoran%E2%99%82_(Pok%C3%A9mon),46,57,40,40,40,50,"['Normal_1×', 'Flying_1×', 'Rock_1×', 'Ghost_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Electric_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×']","['Ground_2×', 'Psychic_2×']",['None'],"['Fighting_½×', 'Poison_½×', 'Bug_½×', 'Grass_½×', 'Fairy_½×']"
 #033, #033,Nidorino,Poison,Null,https://bulbapedia.bulbagarden.net//wiki/Nidorino_(Pok%C3%A9mon),61,72,57,55,55,65,"['Normal_1×', 'Flying_1×', 'Rock_1×', 'Ghost_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Electric_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×']","['Ground_2×', 'Psychic_2×']",['None'],"['Fighting_½×', 'Poison_½×', 'Bug_½×', 'Grass_½×', 'Fairy_½×']"
 #034, #034,Nidoking,Poison,Ground,https://bulbapedia.bulbagarden.net//wiki/Nidoking_(Pok%C3%A9mon),81,92,77,85,75,85,"['Normal_1×', 'Flying_1×', 'Ghost_1×', 'Steel_1×', 'Fire_1×', 'Grass_1×', 'Dragon_1×', 'Dark_1×']","['Ground_2×', 'Water_2×', 'Psychic_2×', 'Ice_2×']",['Electric_0×'],"['Fighting_½×', 'Poison_¼×', 'Rock_½×', 'Bug_½×', 'Fairy_½×']"
 #035, #035,Clefairy,Fairy,Null,https://bulbapedia.bulbagarden.net//wiki/Clefairy_(Pok%C3%A9mon),70,45,48,60,65,35,"['Normal_1×', 'Flying_1×', 'Ground_1×', 'Rock_1×', 'Ghost_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Psychic_1×', 'Ice_1×', 'Fairy_1×']","['Poison_2×', 'Steel_2×']",['Dragon_0×'],"['Fighting_½×', 'Bug_½×', 'Dark_½×']"
 #036, #036,Clefable,Fairy,Null,https://bulbapedia.bulbagarden.net//wiki/Clefable_(Pok%C3%A9mon),95,70,73,85,90,60,"['Normal_1×', 'Flying_1×', 'Ground_1×', 'Rock_1×', 'Ghost_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Psychic_1×', 'Ice_1×', 'Fairy_1×']","['Poison_2×', 'Steel_2×']",['Dragon_0×'],"['Fighting_½×', 'Bug_½×', 'Dark_½×']"
 #037, #037,Vulpix,Fire,Null,https://bulbapedia.bulbagarden.net//wiki/Vulpix_(Pok%C3%A9mon),38,41,40,50,65,65,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Ghost_1×', 'Electric_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×']","['Ground_2×', 'Rock_2×', 'Water_2×']",['None'],"['Bug_½×', 'Steel_½×', 'Fire_½×', 'Grass_½×', 'Ice_½×', 'Fairy_½×']"
  , #037,Vulpix,Ice,Null,https://bulbapedia.bulbagarden.net//wiki/Vulpix_(Pok%C3%A9mon),38,41,40,50,65,65,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Ghost_1×', 'Electric_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×']","['Ground_2×', 'Rock_2×', 'Water_2×']",['None'],"['Bug_½×', 'Steel_½×', 'Fire_½×', 'Grass_½×', 'Ice_½×', 'Fairy_½×']"
 #038, #038,Ninetales,Fire,Null,https://bulbapedia.bulbagarden.net//wiki/Ninetales_(Pok%C3%A9mon),73,76,75,81,100,100,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Ghost_1×', 'Electric_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×']","['Ground_2×', 'Rock_2×', 'Water_2×']",['None'],"['Bug_½×', 'Steel_½×', 'Fire_½×', 'Grass_½×', 'Ice_½×', 'Fairy_½×']"
  , #038,Ninetales,Ice,Fairy,https://bulbapedia.bulbagarden.net//wiki/Ninetales_(Pok%C3%A9mon),73,76,75,81,100,100,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Ghost_1×', 'Electric_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×']","['Ground_2×', 'Rock_2×', 'Water_2×']",['None'],"['Bug_½×', 'Steel_½×', 'Fire_½×', 'Grass_½×', 'Ice_½×', 'Fairy_½×']"
 #039, #039,Jigglypuff,Normal,Fairy,https://bulbapedia.bulbagarden.net//wiki/Jigglypuff_(Pok%C3%A9mon),115,45,20,45,25,20,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Ground_1×', 'Rock_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Psychic_1×', 'Ice_1×', 'Fairy_1×']","['Poison_2×', 'Steel_2×']","['Ghost_0×', 'Dragon_0×']","['Bug_½×', 'Dark_½×']"
 #040, #040,Wigglytuff,Normal,Fairy,https://bulbapedia.bulbagarden.net//wiki/Wigglytuff_(Pok%C3%A9mon),140,70,45,75,50,45,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Ground_1×', 'Rock_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Psychic_1×', 'Ice_1×', 'Fairy_1×']","['Poison_2×', 'Steel_2×']","['Ghost_0×', 'Dragon_0×']","['Bug_½×', 'Dark_½×']"
 #041, #041,Zubat,Poison,Flying,https://bulbapedia.bulbagarden.net//wiki/Zubat_(Pok%C3%A9mon),40,45,35,30,40,55,"['Normal_1×', 'Flying_1×', 'Ghost_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Dragon_1×', 'Dark_1×']","['Rock_2×', 'Electric_2×', 'Psychic_2×', 'Ice_2×']",['Ground_0×'],"['Fighting_¼×', 'Poison_½×', 'Bug_¼×', 'Grass_¼×', 'Fairy_½×']"
 #042, #042,Golbat,Poison,Flying,https://bulbapedia.bulbagarden.net//wiki/Golbat_(Pok%C3%A9mon),75,80,70,65,75,90,"['Normal_1×', 'Flying_1×', 'Ghost_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Dragon_1×', 'Dark_1×']","['Rock_2×', 'Electric_2×', 'Psychic_2×', 'Ice_2×']",['Ground_0×'],"['Fighting_¼×', 'Poison_½×', 'Bug_¼×', 'Grass_¼×', 'Fairy_½×']"
 #043, #043,Oddish,Grass,Poison,https://bulbapedia.bulbagarden.net//wiki/Oddish_(Pok%C3%A9mon),45,50,55,75,65,30,"['Normal_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Ghost_1×', 'Steel_1×', 'Dragon_1×', 'Dark_1×']","['Flying_2×', 'Fire_2×', 'Psychic_2×', 'Ice_2×']",['None'],"['Fighting_½×', 'Water_½×', 'Grass_¼×', 'Electric_½×', 'Fairy_½×']"
 #044, #044,Gloom,Grass,Poison,https://bulbapedia.bulbagarden.net//wiki/Gloom_(Pok%C3%A9mon),60,65,70,85,75,40,"['Normal_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Ghost_1×', 'Steel_1×', 'Dragon_1×', 'Dark_1×']","['Flying_2×', 'Fire_2×', 'Psychic_2×', 'Ice_2×']",['None'],"['Fighting_½×', 'Water_½×', 'Grass_¼×', 'Electric_½×', 'Fairy_½×']"
 #045, #045,Vileplume,Grass,Poison,https://bulbapedia.bulbagarden.net//wiki/Vileplume_(Pok%C3%A9mon),75,80,85,100,90,50,"['Normal_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Ghost_1×', 'Steel_1×', 'Dragon_1×', 'Dark_1×']","['Flying_2×', 'Fire_2×', 'Psychic_2×', 'Ice_2×']",['None'],"['Fighting_½×', 'Water_½×', 'Grass_¼×', 'Electric_½×', 'Fairy_½×']"
 #046, #046,Paras,Bug,Grass,https://bulbapedia.bulbagarden.net//wiki/Paras_(Pok%C3%A9mon),35,70,55,45,55,25,"['Normal_1×', 'Ghost_1×', 'Steel_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Flying_4×', 'Poison_2×', 'Rock_2×', 'Bug_2×', 'Fire_4×', 'Ice_2×']",['None'],"['Fighting_½×', 'Ground_¼×', 'Water_½×', 'Grass_¼×', 'Electric_½×']"
 #047, #047,Parasect,Bug,Grass,https://bulbapedia.bulbagarden.net//wiki/Parasect_(Pok%C3%A9mon),60,95,80,60,80,30,"['Normal_1×', 'Ghost_1×', 'Steel_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Flying_4×', 'Poison_2×', 'Rock_2×', 'Bug_2×', 'Fire_4×', 'Ice_2×']",['None'],"['Fighting_½×', 'Ground_¼×', 'Water_½×', 'Grass_¼×', 'Electric_½×']"
 #048, #048,Venonat,Bug,Poison,https://bulbapedia.bulbagarden.net//wiki/Venonat_(Pok%C3%A9mon),60,55,50,40,55,45,"['Normal_1×', 'Ground_1×', 'Ghost_1×', 'Steel_1×', 'Water_1×', 'Electric_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×']","['Flying_2×', 'Rock_2×', 'Fire_2×', 'Psychic_2×']",['None'],"['Fighting_¼×', 'Poison_½×', 'Bug_½×', 'Grass_¼×', 'Fairy_½×']"
 #049, #049,Venomoth,Bug,Poison,https://bulbapedia.bulbagarden.net//wiki/Venomoth_(Pok%C3%A9mon),70,65,60,90,75,90,"['Normal_1×', 'Ground_1×', 'Ghost_1×', 'Steel_1×', 'Water_1×', 'Electric_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×']","['Flying_2×', 'Rock_2×', 'Fire_2×', 'Psychic_2×']",['None'],"['Fighting_¼×', 'Poison_½×', 'Bug_½×', 'Grass_¼×', 'Fairy_½×']"
